,ListWords,SequenceLen,LearningRate,Stride,batch_size,accumulated_batch_size,DropOut,BestValAcc,BestValF1-Micro,BestValF1-Macro,BestValLoss,BestTrainAcc,BestTrainF1-Micro,BestTrainF1-Macro,BestTrainLoss,TestAcc,seed
0,5 words,10,1e-06,2,4,8,0,0.3478261,0.3478261,0.26666665,1.5436313,0.36263737,0.36263737,0.271483,0.19116673,0.1348314606741573,11
0,5 words,10,1e-06,1,4,8,0,0.3043478,0.3043478,0.1657143,1.5525846,0.3846154,0.3846154,0.27894112,0.1911118,0.1235955056179775,11
0,5 words,10,1e-05,2,4,8,0,0.5217391,0.5217391,0.5203463,1.28652,0.6703297,0.6703297,0.67200226,0.14790644,0.1151685393258427,11
0,5 words,10,1e-05,1,4,8,0,0.5652174,0.5652174,0.55365086,1.2330979,0.7032967,0.7032967,0.712219,0.14351764,0.1292134831460674,11
0,5 words,10,0.0001,2,4,8,0,0.9130435,0.9130435,0.9123932,0.29240167,1.0,1.0,1.0,0.020054147,0.0702247191011236,11
0,5 words,10,0.0001,1,4,8,0,0.8695652,0.8695652,0.86715513,0.3999349,1.0,1.0,1.0,0.012679514,0.0730337078651685,11
0,5 words,10,1e-06,2,4,8,0,0.3043478,0.3043478,0.24761906,1.5415176,0.35164836,0.35164836,0.27304316,0.19142336,0.2078651685393258,21
0,5 words,10,1e-06,1,4,8,0,0.26086956,0.26086956,0.24502164,1.5215442,0.32967034,0.32967034,0.2621555,0.19188648,0.1825842696629213,21
0,5 words,10,1e-05,2,4,8,0,0.6086956,0.6086956,0.6215141,1.2520173,0.6703297,0.6703297,0.6705419,0.1478856,0.1601123595505618,21
0,5 words,10,1e-05,1,4,8,0,0.6956522,0.6956522,0.71470755,1.1834705,0.7032967,0.7032967,0.70945215,0.14385793,0.1432584269662921,21
0,5 words,10,0.0001,2,4,8,0,0.82608694,0.826087,0.82813185,0.4554608,0.978022,0.978022,0.978656,0.034016225,0.0561797752808988,21
0,5 words,10,0.0001,1,4,8,0,0.9130435,0.9130435,0.9123932,0.35136706,1.0,1.0,1.0,0.01509709,0.0814606741573033,21
0,5 words,10,1e-06,2,4,8,0,0.26086956,0.26086956,0.21555556,1.586417,0.32967034,0.32967034,0.27465254,0.1918179,0.1348314606741573,31
0,5 words,10,1e-06,1,4,8,0,0.3043478,0.3043478,0.24849623,1.5946219,0.35164836,0.35164836,0.31923655,0.19086318,0.1123595505617977,31
0,5 words,10,1e-05,2,4,8,0,0.5217391,0.5217391,0.46373624,1.3404279,0.6703297,0.6703297,0.6777629,0.14734693,0.146067415730337,31
0,5 words,10,1e-05,1,4,8,0,0.5217391,0.5217391,0.46373624,1.2704351,0.71428573,0.7142857,0.7318769,0.14108142,0.1235955056179775,31
0,5 words,10,0.0001,2,4,8,0,0.8695652,0.8695652,0.86715513,0.47330773,0.989011,0.989011,0.98867106,0.02946904,0.0505617977528089,31
0,5 words,10,0.0001,1,4,8,0,0.8695652,0.8695652,0.86715513,0.5725925,0.989011,0.989011,0.9890218,0.020656787,0.08146067415730338,31
